epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5829,2.33677,3.89847,2.39979,0.00078,0.05333,0.00057,0.00025,3.09109,4.59464,3.32212,5.716e-05,5.716e-05,5.716e-05
2,72.7606,2.20105,3.73544,2.33554,0.002,0.26667,0.00247,0.0005,3.00329,4.61673,3.24555,8.61687e-05,8.61687e-05,8.61687e-05
3,102.424,2.08045,3.65035,2.19822,0.00192,0.22667,0.00496,0.00073,3.10407,4.66375,3.26198,6.80204e-05,6.80204e-05,6.80204e-05
1,38.6741,2.33677,3.89847,2.39979,0.00078,0.05333,0.00057,0.00025,3.09109,4.59464,3.32212,5.716e-05,5.716e-05,5.716e-05
2,67.6773,2.20105,3.73544,2.33554,0.002,0.26667,0.00247,0.0005,3.00329,4.61673,3.24555,8.61687e-05,8.61687e-05,8.61687e-05
3,95.8267,2.08045,3.65035,2.19822,0.00192,0.22667,0.00496,0.00073,3.10407,4.66375,3.26198,6.80204e-05,6.80204e-05,6.80204e-05
1,51.0015,2.43171,4.04854,2.52122,0.00157,0.13333,0.00107,0.00034,3.04795,4.95892,3.56194,5.716e-05,5.716e-05,5.716e-05
2,92.7058,2.21879,3.88933,2.39328,0.00214,0.26667,0.00213,0.00042,3.27947,5,3.78156,8.61687e-05,8.61687e-05,8.61687e-05
3,132.445,2.09868,3.8233,2.25208,0.00189,0.21333,0.00233,0.00047,3.34012,4.98803,3.73252,6.80204e-05,6.80204e-05,6.80204e-05
1,48.1581,1.88683,3.56363,1.99693,0.00112,0.12,0.00174,0.0004,3.26097,4.6408,3.45588,5.716e-05,5.716e-05,5.716e-05
2,90.1902,1.8691,3.487,2.03682,0.00186,0.21333,0.01511,0.00699,2.66089,4.50464,2.91644,0.000127973,0.000127973,0.000127973
3,130.381,1.83882,3.37645,2.00353,0.00243,0.24,0.00657,0.00184,2.6935,4.49399,2.96106,0.000198079,0.000198079,0.000198079
4,169.621,1.99681,3.26172,2.06506,0.00235,0.17333,0.01317,0.00325,2.61014,4.37275,2.92314,0.000267478,0.000267478,0.000267478
5,209.29,1.97483,3.18538,2.08024,0.00381,0.2,0.01846,0.00396,2.79019,4.36894,2.89089,0.000336169,0.000336169,0.000336169
6,248.886,1.82399,2.95047,1.96763,0.00499,0.28,0.02211,0.00476,2.75425,4.22779,2.77261,0.000404153,0.000404153,0.000404153
7,288.601,1.91938,2.98127,2.03671,0.00466,0.45333,0.13295,0.05009,2.6357,3.92546,2.67502,0.00047143,0.00047143,0.00047143
8,327.566,1.86863,2.87547,1.99225,0.00442,0.50667,0.13556,0.02467,2.48053,3.95448,2.56363,0.000537999,0.000537999,0.000537999
9,366.964,1.79059,2.82161,1.93779,0.0042,0.46667,0.14067,0.03267,2.61053,3.9923,2.68104,0.000603861,0.000603861,0.000603861
10,406.272,1.71638,2.80147,1.91539,0.00269,0.24,0.01824,0.00249,2.99296,4.10757,3.16479,0.000669016,0.000669016,0.000669016
11,445.06,1.74259,2.6474,1.92283,0.0024,0.26667,0.00674,0.00123,3.05906,4.18032,3.51074,0.000733463,0.000733463,0.000733463
12,484.11,1.68016,2.66019,1.88337,0.52775,0.12,0.07264,0.01739,2.78037,4.13627,2.94193,0.000797203,0.000797203,0.000797203
13,522.853,1.72662,2.59285,1.88875,0.36987,0.01721,0.04401,0.01524,2.92238,4.21548,2.97474,0.000860235,0.000860235,0.000860235
14,562.538,1.85646,2.65275,2.00652,0.00509,0.10667,0.00595,0.00148,3.17526,4.53685,3.29051,0.00092256,0.00092256,0.00092256
15,601.873,1.85258,2.59401,1.94596,0.01416,0.04,0.00888,0.00223,3.21108,4.25805,3.12116,0.000984178,0.000984178,0.000984178
16,640.871,1.75149,2.44031,1.87636,0.73835,0.02667,0.03038,0.00677,3.03631,4.22773,3.05481,0.00104509,0.00104509,0.00104509
17,680.037,1.79961,2.55847,1.88948,0.06514,0.06667,0.05778,0.0193,2.87874,4.04706,2.84712,0.00110529,0.00110529,0.00110529
18,719.139,1.71533,2.55175,1.84387,0.04769,0.06667,0.08063,0.02468,2.7983,4.06151,2.73418,0.00116479,0.00116479,0.00116479
19,758.453,1.69186,2.46792,1.81419,0.36283,0.04,0.21139,0.07627,2.74985,3.92859,2.66337,0.00122358,0.00122358,0.00122358
20,797.569,1.8457,2.47945,1.86741,0.18577,0.12333,0.23795,0.0597,2.72407,3.86361,2.92057,0.00128166,0.00128166,0.00128166
21,836.97,1.76248,2.4362,1.83016,0.2677,0.24333,0.17088,0.03645,2.77395,4.24129,2.93045,0.00128753,0.00128753,0.00128753
22,876.154,1.59891,2.23698,1.72226,0.19451,0.20333,0.16556,0.04267,2.73725,4.3146,2.82206,0.00128046,0.00128046,0.00128046
23,915.185,1.56907,2.11026,1.71797,0.40454,0.21333,0.11549,0.02961,2.61566,3.85575,2.69669,0.00127338,0.00127338,0.00127338
24,954.272,1.65526,2.25991,1.78498,0.40445,0.08,0.04184,0.01459,2.45888,4.31306,2.62045,0.00126631,0.00126631,0.00126631
25,993.362,1.60355,2.24619,1.74167,0.42313,0.05333,0.04586,0.0087,2.44423,4.27391,2.61334,0.00125923,0.00125923,0.00125923
26,1032.57,1.68302,2.27207,1.77803,0.36734,0.05333,0.01573,0.00369,2.56852,4.47775,2.74991,0.00125216,0.00125216,0.00125216
27,1071.66,1.75684,2.32704,1.81379,0.68152,0.04,0.00683,0.00205,2.91794,4.87116,3.21799,0.00124509,0.00124509,0.00124509
28,1110.58,1.68633,2.2374,1.76604,0.05612,0.13333,0.04647,0.0153,2.83137,4.39651,3.06721,0.00123801,0.00123801,0.00123801
29,1149.57,1.60918,2.16766,1.72969,0.09191,0.05333,0.04446,0.01554,2.71811,4.21769,2.95512,0.00123094,0.00123094,0.00123094
30,1188.74,1.62389,2.10746,1.6793,0.12854,0.06667,0.04952,0.01659,2.75844,4.07148,2.9746,0.00122387,0.00122387,0.00122387
31,1227.82,1.57774,2.03075,1.69371,0.77986,0.17333,0.16081,0.02879,2.65595,3.80923,2.81608,0.00121679,0.00121679,0.00121679
32,1267.3,1.52951,1.95623,1.64256,0.47007,0.30667,0.1166,0.03172,2.65417,4.10325,2.76843,0.00120972,0.00120972,0.00120972
33,1306.3,1.48241,1.96807,1.6281,0.80221,0.2,0.09925,0.02313,2.59112,4.28641,2.78469,0.00120265,0.00120265,0.00120265
34,1345.37,1.53176,2.01004,1.66451,0.39146,0.1809,0.02797,0.00923,2.67048,4.45439,2.82234,0.00119557,0.00119557,0.00119557
35,1384.41,1.63638,2.0928,1.80568,0.75904,0.06667,0.04645,0.01109,2.80401,4.72206,3.05231,0.0011885,0.0011885,0.0011885
36,1423.48,1.57169,1.97094,1.71033,0.51718,0.2,0.12087,0.06096,2.4907,3.91624,2.82975,0.00118143,0.00118143,0.00118143
37,1462.53,1.59872,1.98274,1.76117,0.66432,0.2,0.16982,0.08585,2.41558,3.39279,2.7074,0.00117435,0.00117435,0.00117435
38,1502.11,1.46728,2.00188,1.64514,0.58605,0.13333,0.10571,0.04355,2.4552,3.6306,2.78519,0.00116728,0.00116728,0.00116728
39,1541.27,1.49941,1.92187,1.6424,0.58088,0.13333,0.09109,0.03433,2.5289,3.76108,2.98175,0.00116021,0.00116021,0.00116021
40,1580.44,1.47837,1.93574,1.65228,0.01356,0.05333,0.02735,0.00634,2.77658,4.40181,3.43,0.00115313,0.00115313,0.00115313
41,1619.37,1.48386,1.88815,1.59649,0.85107,0.01333,0.02125,0.00325,2.74141,4.56795,3.49073,0.00114606,0.00114606,0.00114606
42,1658.38,1.4703,1.91001,1.60193,0.02233,0.08,0.02287,0.00444,2.5425,4.68329,3.15687,0.00113898,0.00113898,0.00113898
43,1697.24,1.40621,1.77201,1.56144,0.74317,0.05333,0.03799,0.00908,2.50529,4.63068,3.02481,0.00113191,0.00113191,0.00113191
44,1736.26,1.37297,1.76028,1.52309,0.79798,0.06667,0.07105,0.02207,2.59296,4.35158,2.88761,0.00112484,0.00112484,0.00112484
45,1775.29,1.39765,1.71816,1.55366,0.81622,0.08,0.09586,0.0216,2.47518,4.23748,2.80498,0.00111776,0.00111776,0.00111776
