                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2014,                 3.7353,                 2.2735,                      0,                      0,                      0,                      0,                  3.044,                 5.1726,                 3.4994,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 2.2355,                 3.8447,                 2.3707,                      0,                      0,                      0,                      0,                 3.0533,                 5.0328,                 3.5001,             4.2021e-05,             4.2021e-05,             4.2021e-05
                      3,                 2.0619,                 3.8375,                 2.2893,                      0,                      0,                      0,                      0,                 3.0042,                 5.0655,                 3.4805,             6.8621e-05,             6.8621e-05,             6.8621e-05
                      4,                   2.04,                 3.7832,                 2.1918,                0.00056,                0.06667,                0.00071,                  7e-05,                 3.1166,                 5.0692,                 3.5245,             9.4088e-05,             9.4088e-05,             9.4088e-05
                      5,                 1.7348,                 3.8826,                 2.0048,                0.00054,                0.06667,                0.00044,                  4e-05,                 3.2159,                 5.0204,                  3.628,             0.00011842,             0.00011842,             0.00011842
                      6,                 1.6718,                 3.5275,                 1.9211,                0.00116,                    0.4,                 0.0055,                0.00073,                 3.2901,                 5.1826,                 3.6863,             0.00014163,             0.00014163,             0.00014163
                      7,                 1.7879,                 3.6377,                 2.0725,                0.00214,                0.53333,                0.06427,                0.01544,                 3.0896,                 5.0736,                 3.3104,              0.0001637,              0.0001637,              0.0001637
                      8,                 1.6268,                 3.3896,                 1.9244,                0.00217,                0.53333,                  0.131,                0.04171,                  2.773,                  4.914,                 3.0202,             0.00018464,             0.00018464,             0.00018464
                      9,                 1.9175,                 3.7054,                 2.1069,                0.00215,                0.53333,                0.13787,                0.04704,                 2.6024,                 4.9331,                 2.8646,             0.00020445,             0.00020445,             0.00020445
                     10,                 1.4566,                  3.072,                 1.7141,                0.00209,                0.53333,                0.13392,                0.03183,                 2.4949,                 4.8358,                 2.8416,             0.00022313,             0.00022313,             0.00022313
                     11,                 1.6926,                 3.2229,                 1.8316,                 0.0021,                0.53333,                0.17387,                0.04383,                 2.4249,                  4.925,                 2.8038,             0.00024067,             0.00024067,             0.00024067
                     12,                  1.672,                 3.0581,                 1.9046,                0.00148,                    0.2,                0.11015,                0.03028,                  2.461,                 4.8022,                 2.7766,             0.00025709,             0.00025709,             0.00025709
                     13,                 1.6587,                 2.9276,                 1.8614,                0.00207,                0.53333,                0.08356,                0.00984,                 2.4815,                 4.8276,                 2.9511,             0.00027237,             0.00027237,             0.00027237
                     14,                 1.6486,                 3.0956,                 1.8404,                0.00206,                0.53333,                0.08166,                0.01612,                 2.4441,                 4.6735,                 2.8874,             0.00028652,             0.00028652,             0.00028652
                     15,                 1.4204,                 2.7979,                  1.708,                0.00206,                0.53333,                0.07914,                 0.0158,                 2.4617,                 4.5802,                  2.807,             0.00029954,             0.00029954,             0.00029954
                     16,                 1.7859,                 3.0159,                 2.0678,                0.00209,                0.53333,                0.07008,                0.01592,                 2.5176,                 4.5119,                 2.8109,             0.00031142,             0.00031142,             0.00031142
                     17,                 1.6515,                 2.7308,                 1.8924,                0.00208,                0.53333,                0.10508,                0.02006,                 2.4716,                 4.4975,                 2.7157,             0.00032218,             0.00032218,             0.00032218
                     18,                 1.5717,                 2.5376,                 1.8587,                0.00204,                0.53333,                0.09162,                0.01779,                 2.4604,                 4.5095,                 2.6621,              0.0003318,              0.0003318,              0.0003318
                     19,                 1.4857,                 2.5639,                 1.7898,                0.00205,                0.53333,                0.04607,                0.00926,                 2.6299,                 4.5591,                 2.6839,             0.00034029,             0.00034029,             0.00034029
                     20,                 1.5208,                  2.496,                 1.7536,                0.00207,                0.53333,                0.02874,                0.00821,                 2.6828,                 4.5629,                  2.718,             0.00034765,             0.00034765,             0.00034765
                     21,                 1.4676,                 2.4301,                 1.7782,                0.00209,                0.53333,                0.01288,                0.00454,                 2.6434,                 4.6364,                 2.7044,             0.00035388,             0.00035388,             0.00035388
                     22,                 1.5998,                 2.6354,                 1.8217,                0.00214,                0.53333,                0.01265,                0.00387,                 2.6606,                 4.6826,                 2.7047,             0.00035897,             0.00035897,             0.00035897
                     23,                 1.4573,                 2.5832,                 1.6784,                0.00209,                0.53333,                0.01252,                0.00307,                 2.6188,                 4.6034,                 2.7889,             0.00036294,             0.00036294,             0.00036294
                     24,                 1.4356,                 2.3826,                 1.7584,                0.00155,                0.46667,                 0.0231,                0.00396,                 2.6029,                  4.704,                 2.8603,             0.00036577,             0.00036577,             0.00036577
                     25,                 1.3498,                 2.2465,                 1.7468,                 0.0015,                0.46667,                0.03432,                0.01012,                 2.5386,                 4.6722,                 2.8615,             0.00036747,             0.00036747,             0.00036747
                     26,                 1.5175,                 2.5398,                 1.7553,                0.00244,                    0.6,                0.04295,                0.00872,                 2.5642,                 4.6951,                 2.9633,             0.00036804,             0.00036804,             0.00036804
                     27,                 1.3939,                 2.3117,                 1.6895,                0.00242,                    0.6,                0.02133,                0.00398,                 2.5509,                 4.6269,                 3.0057,             0.00036748,             0.00036748,             0.00036748
                     28,                 1.4021,                 2.3092,                 1.6325,                0.00242,                    0.6,                0.02133,                0.00398,                 2.5509,                 4.6269,                 3.0057,             0.00036578,             0.00036578,             0.00036578
                     29,                  1.492,                 2.2753,                 1.7033,                0.00194,                0.53333,                0.06775,                0.02652,                 2.7561,                  4.452,                 3.1646,             0.00036295,             0.00036295,             0.00036295
                     30,                 1.3576,                 2.2805,                   1.62,                0.00204,                0.26667,                0.07078,                0.03343,                 2.7486,                 4.4716,                 3.0423,               0.000359,               0.000359,               0.000359
                     31,                 1.4428,                 2.1339,                 1.6636,                0.00204,                0.26667,                0.07078,                0.03343,                 2.7486,                 4.4716,                 3.0423,             0.00035391,             0.00035391,             0.00035391
                     32,                 1.3428,                 2.4252,                 1.6669,                0.00254,                    0.6,                0.07288,                0.02822,                 2.7242,                 4.3576,                 2.7037,             0.00034768,             0.00034768,             0.00034768
                     33,                 1.1964,                  2.099,                 1.5399,                0.51294,                0.06667,                0.08681,                0.03794,                  2.726,                 4.1666,                  2.581,             0.00034033,             0.00034033,             0.00034033
                     34,                 1.3929,                 2.0099,                 1.7294,                0.51294,                0.06667,                0.08681,                0.03794,                  2.726,                 4.1666,                  2.581,             0.00033185,             0.00033185,             0.00033185
                     35,                 1.3762,                 2.2601,                 1.6368,                0.51276,                0.06667,                0.09646,                0.04435,                 2.6222,                 4.2478,                 2.5125,             0.00032223,             0.00032223,             0.00032223
                     36,                 1.4389,                  2.476,                 1.7307,                0.00257,                0.33333,                0.09759,                0.04019,                 2.5016,                 4.0995,                 2.4405,             0.00031148,             0.00031148,             0.00031148
                     37,                 1.3775,                  2.147,                 1.6383,                0.00257,                0.33333,                0.09759,                0.04019,                 2.5016,                 4.0995,                 2.4405,              0.0002996,              0.0002996,              0.0002996
                     38,                 1.2868,                 2.0941,                 1.5375,                0.00255,                0.33333,                0.10132,                0.03933,                 2.5162,                 4.2363,                 2.5111,             0.00028659,             0.00028659,             0.00028659
                     39,                 1.3078,                 2.0134,                  1.542,                0.00254,                0.33333,                 0.1041,                0.04106,                 2.5419,                 4.1765,                 2.5957,             0.00027244,             0.00027244,             0.00027244
                     40,                 1.2425,                 1.9389,                 1.4893,                0.00254,                0.33333,                 0.1041,                0.04106,                 2.5419,                 4.1765,                 2.5957,             0.00025717,             0.00025717,             0.00025717
                     41,                 1.2435,                 2.1371,                 1.5245,                0.00248,                0.33333,                 0.0811,                0.03343,                 2.5122,                 4.2494,                 2.6195,             0.00024076,             0.00024076,             0.00024076
                     42,                 1.1068,                 2.3301,                 1.5096,                0.00201,                0.26667,                0.08864,                 0.0304,                 2.4451,                 4.3323,                 2.4826,             0.00022322,             0.00022322,             0.00022322
                     43,                 1.1938,                  2.212,                 1.5124,                0.00201,                0.26667,                0.08864,                 0.0304,                 2.4451,                 4.3323,                 2.4826,             0.00020455,             0.00020455,             0.00020455
                     44,                  1.174,                 2.2948,                 1.5339,                0.00204,                0.26667,                0.10679,                0.02666,                 2.5365,                 4.2336,                 2.6141,             0.00018474,             0.00018474,             0.00018474
                     45,                 1.1877,                  2.162,                 1.5269,                0.00204,                0.26667,                0.10679,                0.02666,                 2.5365,                 4.2336,                 2.6141,             0.00016381,             0.00016381,             0.00016381
                     46,                  1.307,                 2.1663,                 1.5845,                0.00209,                0.26667,                0.06043,                0.02077,                  2.523,                 4.2795,                 2.6038,             0.00014174,             0.00014174,             0.00014174
                     47,                 1.1388,                 2.0239,                 1.4238,                0.00209,                0.26667,                0.06043,                0.02077,                  2.523,                 4.2795,                 2.6038,             0.00011854,             0.00011854,             0.00011854
                     48,                  1.073,                 1.9032,                 1.4154,                0.00207,                0.26667,                 0.0563,                0.01735,                 2.5693,                 4.1659,                 2.6972,             9.4214e-05,             9.4214e-05,             9.4214e-05
                     49,                 1.1233,                 1.9145,                 1.5035,                0.00207,                0.26667,                 0.0563,                0.01735,                 2.5693,                 4.1659,                 2.6972,             6.8752e-05,             6.8752e-05,             6.8752e-05
                     50,                  1.141,                 2.1012,                 1.4997,                0.00278,                    0.6,                0.08627,                0.02997,                 2.6002,                   4.17,                 2.6644,             4.2158e-05,             4.2158e-05,             4.2158e-05
